from_domain,from_table,from_column,to_domain,to_table,to_column,business_label
Rete e dispositivi,network_devices,last_scan_id,Rete e dispositivi,network_scans,id,network_devices.last_scan_id collega a network_scans (last_scan)
Rete e dispositivi,network_firewall_events,device_id,Rete e dispositivi,network_devices,id,network_firewall_events.device_id collega a network_devices (device)
Rete e dispositivi,network_firewall_events,firewall_id,Rete e dispositivi,network_firewalls,id,network_firewall_events.firewall_id collega a network_firewalls (firewall)
Rete e dispositivi,network_firewall_hourly_rollups,device_id,Rete e dispositivi,network_devices,id,network_firewall_hourly_rollups.device_id collega a network_devices (device)
Rete e dispositivi,network_firewall_hourly_rollups,tracked_subject_id,Rete e dispositivi,network_tracked_subjects,id,network_firewall_hourly_rollups.tracked_subject_id collega a network_tracked_subjects (tracked_subject)
Rete e dispositivi,network_firewall_metrics,firewall_id,Rete e dispositivi,network_firewalls,id,network_firewall_metrics.firewall_id collega a network_firewalls (firewall)
Rete e dispositivi,network_scan_devices,device_id,Rete e dispositivi,network_devices,id,network_scan_devices.device_id collega a network_devices (device)
Rete e dispositivi,network_scan_devices,scan_id,Rete e dispositivi,network_scans,id,network_scan_devices.scan_id collega a network_scans (scan)
Rete e dispositivi,network_sophos_config,updated_by_user_id,Accessi e permessi,application_users,id,network_sophos_config.updated_by_user_id collega a application_users (updated_by_user)
Rete e dispositivi,network_tracked_subjects,created_by_user_id,Accessi e permessi,application_users,id,network_tracked_subjects.created_by_user_id collega a application_users (created_by_user)
Rete e dispositivi,network_tracked_subjects,device_id,Rete e dispositivi,network_devices,id,network_tracked_subjects.device_id collega a network_devices (device)
Operazioni sul campo,operator_activity,activity_catalog_id,Operazioni sul campo,activity_catalog,id,operator_activity.activity_catalog_id collega a activity_catalog (activity_catalog)
Operazioni sul campo,operator_activity,audio_note_attachment_id,Operazioni sul campo,attachment,id,operator_activity.audio_note_attachment_id collega a attachment (audio_note_attachment)
Operazioni sul campo,operator_activity,created_by_user_id,Accessi e permessi,application_users,id,operator_activity.created_by_user_id collega a application_users (created_by_user)
Operazioni sul campo,operator_activity,gps_track_summary_id,Operazioni sul campo,gps_track_summary,id,operator_activity.gps_track_summary_id collega a gps_track_summary (gps_track_summary)
Operazioni sul campo,operator_activity,operator_user_id,Accessi e permessi,application_users,id,operator_activity.operator_user_id collega a application_users (operator_user)
Operazioni sul campo,operator_activity,rectified_from_activity_id,Operazioni sul campo,operator_activity,id,operator_activity.rectified_from_activity_id collega a operator_activity (rectified_from_activity)
Operazioni sul campo,operator_activity,reviewed_by_user_id,Accessi e permessi,application_users,id,operator_activity.reviewed_by_user_id collega a application_users (reviewed_by_user)
Operazioni sul campo,operator_activity,team_id,Operazioni sul campo,team,id,operator_activity.team_id collega a team (team)
Operazioni sul campo,operator_activity,updated_by_user_id,Accessi e permessi,application_users,id,operator_activity.updated_by_user_id collega a application_users (updated_by_user)
Operazioni sul campo,operator_activity,vehicle_id,Operazioni sul campo,vehicle,id,operator_activity.vehicle_id collega a vehicle (vehicle)
Operazioni sul campo,operator_activity,vehicle_usage_session_id,Operazioni sul campo,vehicle_usage_session,id,operator_activity.vehicle_usage_session_id collega a vehicle_usage_session (vehicle_usage_session)
Operazioni sul campo,operator_activity_attachment,attachment_id,Operazioni sul campo,attachment,id,operator_activity_attachment.attachment_id collega a attachment (attachment)
Operazioni sul campo,operator_activity_attachment,operator_activity_id,Operazioni sul campo,operator_activity,id,operator_activity_attachment.operator_activity_id collega a operator_activity (operator_activity)
Operazioni sul campo,operator_activity_event,actor_user_id,Accessi e permessi,application_users,id,operator_activity_event.actor_user_id collega a application_users (actor_user)
Operazioni sul campo,operator_activity_event,operator_activity_id,Operazioni sul campo,operator_activity,id,operator_activity_event.operator_activity_id collega a operator_activity (operator_activity)
Accessi e permessi,operator_invitation,activated_user_id,Accessi e permessi,application_users,id,operator_invitation.activated_user_id collega a application_users (activated_user)
Accessi e permessi,operator_invitation,created_by_user_id,Accessi e permessi,application_users,id,operator_invitation.created_by_user_id collega a application_users (created_by_user)
Accessi e permessi,operator_invitation,wc_operator_id,Operazioni sul campo,wc_operator,id,operator_invitation.wc_operator_id collega a wc_operator (wc_operator)
Operazioni sul campo,operator_profile,user_id,Accessi e permessi,application_users,id,operator_profile.user_id collega a application_users (user)
Organigramma,org_assignment,created_by_user_id,Accessi e permessi,application_users,id,org_assignment.created_by_user_id collega a application_users (created_by_user)
Organigramma,org_assignment,manager_user_id,Accessi e permessi,application_users,id,org_assignment.manager_user_id collega a application_users (manager_user)
Organigramma,org_assignment,org_unit_id,Organigramma,org_unit,id,org_assignment.org_unit_id collega a org_unit (org_unit)
Organigramma,org_assignment,updated_by_user_id,Accessi e permessi,application_users,id,org_assignment.updated_by_user_id collega a application_users (updated_by_user)
Organigramma,org_assignment,user_id,Accessi e permessi,application_users,id,org_assignment.user_id collega a application_users (user)
Organigramma,org_assignment,wc_operator_id,Operazioni sul campo,wc_operator,id,org_assignment.wc_operator_id collega a wc_operator (wc_operator)
Organigramma,org_change_event,changed_by_user_id,Accessi e permessi,application_users,id,org_change_event.changed_by_user_id collega a application_users (changed_by_user)
Organigramma,org_change_event,draft_id,Organigramma,org_draft,id,org_change_event.draft_id collega a org_draft (draft)
Organigramma,org_draft,base_revision_id,Organigramma,org_revision,id,org_draft.base_revision_id collega a org_revision (base_revision)
Organigramma,org_draft,created_by_user_id,Accessi e permessi,application_users,id,org_draft.created_by_user_id collega a application_users (created_by_user)
Organigramma,org_draft,published_by_user_id,Accessi e permessi,application_users,id,org_draft.published_by_user_id collega a application_users (published_by_user)
Organigramma,org_draft,updated_by_user_id,Accessi e permessi,application_users,id,org_draft.updated_by_user_id collega a application_users (updated_by_user)
Organigramma,org_draft,working_revision_id,Organigramma,org_revision,id,org_draft.working_revision_id collega a org_revision (working_revision)
Organigramma,org_revision,created_by_user_id,Accessi e permessi,application_users,id,org_revision.created_by_user_id collega a application_users (created_by_user)
Organigramma,org_revision,published_by_user_id,Accessi e permessi,application_users,id,org_revision.published_by_user_id collega a application_users (published_by_user)
Organigramma,org_revision,source_revision_id,Organigramma,org_revision,id,org_revision.source_revision_id collega a org_revision (source_revision)
Organigramma,org_revision_assignment,manager_user_id,Accessi e permessi,application_users,id,org_revision_assignment.manager_user_id collega a application_users (manager_user)
Organigramma,org_revision_assignment,revision_id,Organigramma,org_revision,id,org_revision_assignment.revision_id collega a org_revision (revision)
Organigramma,org_revision_assignment,user_id,Accessi e permessi,application_users,id,org_revision_assignment.user_id collega a application_users (user)
Organigramma,org_revision_unit,revision_id,Organigramma,org_revision,id,org_revision_unit.revision_id collega a org_revision (revision)
Organigramma,org_source_link,created_by_user_id,Accessi e permessi,application_users,id,org_source_link.created_by_user_id collega a application_users (created_by_user)
Organigramma,org_source_link,org_assignment_id,Organigramma,org_assignment,id,org_source_link.org_assignment_id collega a org_assignment (org_assignment)
Organigramma,org_source_link,org_unit_id,Organigramma,org_unit,id,org_source_link.org_unit_id collega a org_unit (org_unit)
Organigramma,org_source_link,updated_by_user_id,Accessi e permessi,application_users,id,org_source_link.updated_by_user_id collega a application_users (updated_by_user)
Organigramma,org_source_link,wc_area_id,Operazioni sul campo,wc_area,id,org_source_link.wc_area_id collega a wc_area (wc_area)
Organigramma,org_source_link,wc_operator_id,Operazioni sul campo,wc_operator,id,org_source_link.wc_operator_id collega a wc_operator (wc_operator)
Organigramma,org_source_link,wc_org_chart_entry_id,Operazioni sul campo,wc_org_chart_entry,id,org_source_link.wc_org_chart_entry_id collega a wc_org_chart_entry (wc_org_chart_entry)
Organigramma,org_structure_assignment,application_user_id,Accessi e permessi,application_users,id,org_structure_assignment.application_user_id collega a application_users (application_user)
Organigramma,org_structure_assignment,manager_user_id,Accessi e permessi,application_users,id,org_structure_assignment.manager_user_id collega a application_users (manager_user)
Organigramma,org_structure_assignment,source_wc_operator_id,Operazioni sul campo,wc_operator,id,org_structure_assignment.source_wc_operator_id collega a wc_operator (source_wc_operator)
Organigramma,org_unit,created_by_user_id,Accessi e permessi,application_users,id,org_unit.created_by_user_id collega a application_users (created_by_user)
