source_point_code,record_kinds,rows,matricole,exact_candidates,strip_suffix_candidates,dotted_candidates,alpha_suffix_candidates,meter_candidates,notes
8_1_5,operator_activity,3,,28_1D_1L:8_1_5 | 28_1D_2L:8_1_5,,,,,ambiguous_subdistrict | operator_activity
8_1_8_E,operator_activity,3,,,28_1D_1L:8_1_8 | 28_1D_2L:8_1_8,,,,ambiguous_subdistrict | operator_activity
8_1_8_F,operator_activity,3,,,28_1D_1L:8_1_8 | 28_1D_2L:8_1_8,,,,ambiguous_subdistrict | operator_activity
8_1_8_G,operator_activity,3,,,28_1D_1L:8_1_8 | 28_1D_2L:8_1_8,,,,ambiguous_subdistrict | operator_activity
8_1_9_H,operator_activity,3,,,28_1D_1L:8_1_9 | 28_1D_2L:8_1_9,,,,ambiguous_subdistrict | operator_activity
8_2_2,operator_activity,3,,28_1D_1L:8_2_2 | 28_1D_2L:8_2_2,,,,,ambiguous_subdistrict | operator_activity
8_2_3_A,operator_activity,3,,,28_1D_1L:8_2_3 | 28_1D_2L:8_2_3,,,,ambiguous_subdistrict | operator_activity
8_2_3_C,operator_activity,3,,,28_1D_1L:8_2_3 | 28_1D_2L:8_2_3,,,,ambiguous_subdistrict | operator_activity
8_2_4_D,operator_activity,3,,,28_1D_1L:8_2_4 | 28_1D_2L:8_2_4,,,,ambiguous_subdistrict | operator_activity
8_2_7,operator_activity,3,,28_1D_1L:8_2_7 | 28_1D_2L:8_2_7,,,,,ambiguous_subdistrict | operator_activity
8_2_8,operator_activity,3,,28_1D_1L:8_2_8 | 28_1D_2L:8_2_8,,,,,ambiguous_subdistrict | operator_activity
9_11_3_A,operator_activity,3,,,,,,,operator_activity
9_1_10,dismissed_point,3,,28_1D_1L:9_1_10 | 28_1D_2L:9_1_10,,,,,ambiguous_subdistrict | dismissed_point
9_1_11,operator_activity,3,,28_1D_1L:9_1_11 | 28_1D_2L:9_1_11,,,,,ambiguous_subdistrict | operator_activity
9_1_11-M,operator_activity,3,,,,,,,operator_activity
9_1_13,operator_activity,3,,28_1D_1L:9_1_13 | 28_1D_2L:9_1_13,,,,,ambiguous_subdistrict | operator_activity
9_1_14,meter_reading,3,,28_1D_1L:9_1_14 | 28_1D_2L:9_1_14,,,,,ambiguous_subdistrict
9_1_16,meter_reading,3,,28_1D_1L:9_1_16 | 28_1D_2L:9_1_16,,,,,ambiguous_subdistrict
9_1_4,operator_activity,3,,28_1D_1L:9_1_4 | 28_1D_2L:9_1_4,,,,,ambiguous_subdistrict | operator_activity
9_1_4_A,operator_activity,3,,,28_1D_1L:9_1_4 | 28_1D_2L:9_1_4,,,,ambiguous_subdistrict | operator_activity
9_1_4_C,operator_activity,3,,,28_1D_1L:9_1_4 | 28_1D_2L:9_1_4,,,,ambiguous_subdistrict | operator_activity
9_1_5,operator_activity,3,,28_1D_1L:9_1_5 | 28_1D_2L:9_1_5,,,,,ambiguous_subdistrict | operator_activity
9_1_5_D,operator_activity,3,,,28_1D_1L:9_1_5 | 28_1D_2L:9_1_5,,,,ambiguous_subdistrict | operator_activity
9_1_6,operator_activity,3,,28_1D_1L:9_1_6 | 28_1D_2L:9_1_6,,,,,ambiguous_subdistrict | operator_activity
9_1_6_B,operator_activity,3,,,28_1D_1L:9_1_6 | 28_1D_2L:9_1_6,,,,ambiguous_subdistrict | operator_activity
9_1_6_C,operator_activity,3,,,28_1D_1L:9_1_6 | 28_1D_2L:9_1_6,,,,ambiguous_subdistrict | operator_activity
9_1_6_E,operator_activity,3,,,28_1D_1L:9_1_6 | 28_1D_2L:9_1_6,,,,ambiguous_subdistrict | operator_activity
