source_point_code,record_kinds,rows,matricole,exact_candidates,strip_suffix_candidates,dotted_candidates,alpha_suffix_candidates,meter_candidates,notes
1_1_16,dismissed_point,3,,28_1D_1L:1_1_16 | 28_1D_2L:1_1_16,,,,,ambiguous_subdistrict | dismissed_point
1_1_18,operator_activity,3,,28_1D_1L:1_1_18 | 28_1D_2L:1_1_18,,,,,ambiguous_subdistrict | operator_activity
1_1_2,operator_activity,3,,28_1D_1L:1_1_2 | 28_1D_2L:1_1_2,,,,,ambiguous_subdistrict | operator_activity
1_1_3_B,operator_activity,3,,,28_1D_1L:1_1_3 | 28_1D_2L:1_1_3,,,,ambiguous_subdistrict | operator_activity
23_111_2,dismissed_point,3,,,,,,,dismissed_point
23_1_10G,operator_activity,3,,,,,,,operator_activity
23_1_7-F,operator_activity,3,,,,,,,operator_activity
2_11_1,operator_activity,3,,28_1D_1L:2_11_1 | 28_1D_2L:2_11_1,,,,,ambiguous_subdistrict | operator_activity
2_11_1_A,operator_activity,3,,,28_1D_1L:2_11_1 | 28_1D_2L:2_11_1,,,,ambiguous_subdistrict | operator_activity
2_11_1_B,operator_activity,3,,,28_1D_1L:2_11_1 | 28_1D_2L:2_11_1,,,,ambiguous_subdistrict | operator_activity
2_11_2,operator_activity,3,,28_1D_1L:2_11_2 | 28_1D_2L:2_11_2,,,,,ambiguous_subdistrict | operator_activity
2_11_2-C,operator_activity,3,,,,,,,operator_activity
2_11_3_D,operator_activity,3,,,28_1D_1L:2_11_3 | 28_1D_2L:2_11_3,,,,ambiguous_subdistrict | operator_activity
2_11_3_E,operator_activity,3,,,28_1D_1L:2_11_3 | 28_1D_2L:2_11_3,,,,ambiguous_subdistrict | operator_activity
2_11_4,meter_reading,3,,28_1D_1L:2_11_4 | 28_1D_2L:2_11_4,,,,,ambiguous_subdistrict
2_11_4_F,operator_activity,3,,,28_1D_1L:2_11_4 | 28_1D_2L:2_11_4,,,,ambiguous_subdistrict | operator_activity
2_12_1,dismissed_point,3,,28_1D_1L:2_12_1 | 28_1D_2L:2_12_1,,,,,ambiguous_subdistrict | dismissed_point
2_12_2,dismissed_point,3,,28_1D_1L:2_12_2 | 28_1D_2L:2_12_2,,,,,ambiguous_subdistrict | dismissed_point
2_1_10,operator_activity,3,,28_1D_1L:2_1_10 | 28_1D_2L:2_1_10,,,,,ambiguous_subdistrict | operator_activity
2_1_11,operator_activity,3,,28_1D_1L:2_1_11 | 28_1D_2L:2_1_11,,,,,ambiguous_subdistrict | operator_activity
2_1_12,dismissed_point,3,,28_1D_1L:2_1_12 | 28_1D_2L:2_1_12,,,,,ambiguous_subdistrict | dismissed_point
2_1_13,operator_activity,3,,28_1D_1L:2_1_13 | 28_1D_2L:2_1_13,,,,,ambiguous_subdistrict | operator_activity
2_1_14,operator_activity,3,,28_1D_1L:2_1_14 | 28_1D_2L:2_1_14,,,,,ambiguous_subdistrict | operator_activity
2_1_15,operator_activity,3,,28_1D_1L:2_1_15 | 28_1D_2L:2_1_15,,,,,ambiguous_subdistrict | operator_activity
2_1_17,operator_activity,3,,28_1D_1L:2_1_17 | 28_1D_2L:2_1_17,,,,,ambiguous_subdistrict | operator_activity
2_1_18,operator_activity,3,,28_1D_1L:2_1_18 | 28_1D_2L:2_1_18,,,,,ambiguous_subdistrict | operator_activity
2_1_3,meter_reading,3,,28_1D_1L:2_1_3 | 28_1D_2L:2_1_3,,,,,ambiguous_subdistrict
2_1_6,meter_reading,3,,28_1D_1L:2_1_6 | 28_1D_2L:2_1_6,,,,,ambiguous_subdistrict
2_1_8,operator_activity,3,,28_1D_1L:2_1_8 | 28_1D_2L:2_1_8,,,,,ambiguous_subdistrict | operator_activity
2_1_9,operator_activity,3,,28_1D_1L:2_1_9 | 28_1D_2L:2_1_9,,,,,ambiguous_subdistrict | operator_activity
3_11_3,operator_activity,3,,,,,,,operator_activity
3_1_2,operator_activity,3,,28_1D_1L:3_1_2 | 28_1D_2L:3_1_2,,,,,ambiguous_subdistrict | operator_activity
3_1_3,meter_reading,3,,28_1D_1L:3_1_3 | 28_1D_2L:3_1_3,,,,,ambiguous_subdistrict
3_2_1,operator_activity,3,,28_1D_1L:3_2_1 | 28_1D_2L:3_2_1,,,,,ambiguous_subdistrict | operator_activity
3_2_1_A,operator_activity,3,,,28_1D_1L:3_2_1 | 28_1D_2L:3_2_1,,,,ambiguous_subdistrict | operator_activity
5_1_2_B,operator_activity,3,,,28_1D_1L:5_1_2 | 28_1D_2L:5_1_2,,,,ambiguous_subdistrict | operator_activity
5_1_3_C,operator_activity,3,,,28_1D_1L:5_1_3 | 28_1D_2L:5_1_3,,,,ambiguous_subdistrict | operator_activity
5_1_3_D,operator_activity,3,,,28_1D_1L:5_1_3 | 28_1D_2L:5_1_3,,,,ambiguous_subdistrict | operator_activity
5_1_4,operator_activity,3,,28_1D_1L:5_1_4 | 28_1D_2L:5_1_4,,,,,ambiguous_subdistrict | operator_activity
5_1_4_E,operator_activity,3,,,28_1D_1L:5_1_4 | 28_1D_2L:5_1_4,,,,ambiguous_subdistrict | operator_activity
5_1_5_F,operator_activity,3,,,28_1D_1L:5_1_5 | 28_1D_2L:5_1_5,,,,ambiguous_subdistrict | operator_activity
5_1_6,operator_activity,3,,28_1D_1L:5_1_6 | 28_1D_2L:5_1_6,,,,,ambiguous_subdistrict | operator_activity
5_1_7,operator_activity,3,,28_1D_1L:5_1_7 | 28_1D_2L:5_1_7,,,,,ambiguous_subdistrict | operator_activity
5_1_7-I,operator_activity,3,,,,,,,operator_activity
5_1_7_L,operator_activity,3,,,28_1D_1L:5_1_7 | 28_1D_2L:5_1_7,,,,ambiguous_subdistrict | operator_activity
5_1_8,operator_activity,3,,28_1D_1L:5_1_8 | 28_1D_2L:5_1_8,,,,,ambiguous_subdistrict | operator_activity
5_2_2,operator_activity,3,,28_1D_1L:5_2_2 | 28_1D_2L:5_2_2,,,,,ambiguous_subdistrict | operator_activity
5_2_5,operator_activity,3,,28_1D_1L:5_2_5 | 28_1D_2L:5_2_5,,,,,ambiguous_subdistrict | operator_activity
5_2_6,operator_activity,3,,28_1D_1L:5_2_6 | 28_1D_2L:5_2_6,,,,,ambiguous_subdistrict | operator_activity
5_2_7,operator_activity,3,,28_1D_1L:5_2_7 | 28_1D_2L:5_2_7,,,,,ambiguous_subdistrict | operator_activity
