source_point_code,record_kinds,rows,matricole,exact_candidates,strip_suffix_candidates,dotted_candidates,alpha_suffix_candidates,meter_candidates,notes
9E.1_1-1D,meter_reading | operator_activity,5,11071 | 11603,,,,,24:9E.1_1-1B,operator_activity | meter_match_present
10E.3_12-10C,operator_activity,3,11604,,,,,,operator_activity
10E.3_12-10D,operator_activity,3,11605,,,,,,operator_activity
10E.3_8-8D,meter_reading,3,11603,,,,,,
11E_1-30A,operator_activity,3,11406,,,,,,operator_activity
11E_1-30B,operator_activity,3,11407,,,,,,operator_activity
11E_1-30C,operator_activity,3,11408,,,,,,operator_activity
11E_1-30D,operator_activity,3,11409,,,,,,operator_activity
11E_2-29A,operator_activity,3,11410,,,,,,operator_activity
11E_2-29B,operator_activity,3,11411,,,,,,operator_activity
11E_2-29C,operator_activity,3,11412,,,,,,operator_activity
11E_2-29D,operator_activity,3,11413,,,,,,operator_activity
11E_3-28A,operator_activity,3,11414,,,,,,operator_activity
11E_3-28B,operator_activity,3,11415,,,,,,operator_activity
11E_3-28C,operator_activity,3,11416,,,,,,operator_activity
11E_3-28D,operator_activity,3,11417,,,,,24:11E_4,operator_activity | meter_match_present
11E_4-27A,operator_activity,3,11418,,,,,,operator_activity
11E_4-27B,operator_activity,3,11419,,,,,,operator_activity
11E_5-26A,operator_activity,3,11420,,,,,,operator_activity
11E_5-26B,operator_activity,3,11421,,,,,,operator_activity
11E_5-26C,operator_activity,3,11422,,,,,,operator_activity
11E_5-26D,operator_activity,3,11423,,,,,,operator_activity
11E_6-25A,operator_activity,3,11424,,,,,,operator_activity
11E_6-25B,operator_activity,3,11425,,,,,,operator_activity
11E_6-25C,operator_activity,3,11426,,,,,,operator_activity
11E_6-25D,operator_activity,3,11427,,,,,,operator_activity
11E_7-24A,operator_activity,3,11428,,,,,,operator_activity
11E_7-24B,operator_activity,3,11429,,,,,,operator_activity
11E_7-24C,operator_activity,3,11430,,,,,,operator_activity
11E_7-24D,operator_activity,3,11431,,,,,,operator_activity
11E_8-23A,operator_activity,3,11432,,,,,,operator_activity
11E_8-23B,operator_activity,3,11433,,,,,,operator_activity
11E_8-23C,operator_activity,3,11434,,,,,,operator_activity
11E_8-23D,operator_activity,3,11435,,,,,,operator_activity
11W.1_1-48A,operator_activity,3,11502,,,,,,operator_activity
11W.1_1-48B,operator_activity,3,11503,,,,,,operator_activity
11W_1-31A,operator_activity,3,11436,,,,,,operator_activity
11W_1-31B,operator_activity,3,11437,,,,,,operator_activity
11W_1-31C,operator_activity,3,11438,,,,,,operator_activity
11W_1-31D,operator_activity,3,11439,,,,,,operator_activity
11W_10-40A,operator_activity,3,11472,,,,,,operator_activity
11W_10-40B,operator_activity,3,11473,,,,,,operator_activity
11W_10-40C,operator_activity,3,11474,,,,,,operator_activity
11W_10-40D,operator_activity,3,11475,,,,,,operator_activity
11W_11-41A,operator_activity,3,11476,,,,,,operator_activity
11W_11-41B,operator_activity,3,11477,,,,,,operator_activity
11W_11-41C,operator_activity,3,11478,,,,,,operator_activity
11W_11-41D,operator_activity,3,11479,,,,,,operator_activity
11W_12-42A,operator_activity,3,11480,,,,,,operator_activity
11W_12-42B,operator_activity,3,11481,,,,,,operator_activity
11W_12-42C,operator_activity,3,11482,,,,,,operator_activity
11W_12-42D,operator_activity,3,11483,,,,,,operator_activity
11W_13-43A,operator_activity,3,11484,,,,,,operator_activity
11W_13-43B,operator_activity,3,11485,,,,,,operator_activity
11W_13-43C,operator_activity,3,11486,,,,,,operator_activity
11W_13-43D,operator_activity,3,11487,,,,,,operator_activity
11W_14-44A,operator_activity,3,11488,,,,,,operator_activity
11W_14-44B,operator_activity,3,11489,,,,,,operator_activity
11W_14-44C,operator_activity,3,11490,,,,,,operator_activity
11W_14-44D,operator_activity,3,11491,,,,,,operator_activity
11W_15-45A,operator_activity,3,11492,,,,,,operator_activity
11W_15-45B,operator_activity,3,11493,,,,,,operator_activity
11W_15-45C,operator_activity,3,11494,,,,,,operator_activity
11W_15-45D,operator_activity,3,11495,,,,,,operator_activity
11W_16-46A,operator_activity,3,11496,,,,,,operator_activity
11W_16-46B,operator_activity,3,11497,,,,,,operator_activity
11W_16-46C,operator_activity,3,11498,,,,,,operator_activity
11W_16-46D,operator_activity,3,11499,,,,,,operator_activity
11W_17-47C,operator_activity,3,11500,,,,,,operator_activity
11W_17-47D,operator_activity,3,11501,,,,,,operator_activity
11W_17-47E,operator_activity,3,48,,,,,,operator_activity
11W_5-35A,operator_activity,3,11452,,,,,,operator_activity
11W_5-35B,operator_activity,3,11453,,,,,,operator_activity
11W_5-35C,operator_activity,3,11454,,,,,,operator_activity
11W_5-35D,operator_activity,3,11455,,,,,,operator_activity
11W_6-36A,operator_activity,3,11456,,,,,,operator_activity
11W_6-36B,operator_activity,3,11457,,,,,,operator_activity
11W_6-36C,operator_activity,3,11458,,,,,,operator_activity
11W_6-36D,operator_activity,3,11459,,,,,,operator_activity
11W_7-37A,operator_activity,3,11460,,,,,,operator_activity
11W_7-37B,operator_activity,3,11461,,,,,,operator_activity
11W_7-37C,operator_activity,3,11462,,,,,,operator_activity
11W_7-37D,operator_activity,3,11463,,,,,,operator_activity
11W_8-38A,operator_activity,3,11464,,,,,,operator_activity
11W_8-38B,operator_activity,3,11465,,,,,,operator_activity
11W_8-38C,operator_activity,3,11466,,,,,,operator_activity
11W_8-38D,operator_activity,3,11467,,,,,,operator_activity
11W_9-39A,operator_activity,3,11468,,,,,,operator_activity
11W_9-39B,operator_activity,3,11469,,,,,,operator_activity
11W_9-39C,operator_activity,3,11470,,,,,,operator_activity
11W_9-39D,operator_activity,3,11471,,,,,,operator_activity
13E.1_1-6A,operator_activity,3,11651,,,,,,operator_activity
13E.1_1-6C,operator_activity,3,11652,,,,,,operator_activity
13E.1_1-6D,operator_activity,3,11653,,,,,,operator_activity
13E.2_1-6B,operator_activity,3,11654,,,,,,operator_activity
13E.2_1-6D,operator_activity,3,11655,,,,,,operator_activity
13E.3_2-3A,operator_activity,3,11656,,,,,,operator_activity
13E.3_2-3B,operator_activity,3,11657,,,,,,operator_activity
13E_1-6C,operator_activity,3,11607,,,,,,operator_activity
13E_1-6D,operator_activity,3,11608,,,,,,operator_activity
13E_10-5A,operator_activity,3,11637,,,,,,operator_activity
13E_10-5B,operator_activity,3,11638,,,,,,operator_activity
13E_10-5C,operator_activity,3,11639,,,,,,operator_activity
13E_10-5D,operator_activity,3,11640,,,,,,operator_activity
13E_11-6A,operator_activity,3,11641,,,,,,operator_activity
13E_11-6B,operator_activity,3,11642,,,,,,operator_activity
13E_11-6C,operator_activity,3,11643,,,,,,operator_activity
13E_11-6D,operator_activity,3,11644,,,,,,operator_activity
13E_12-7A,operator_activity,3,11645,,,,,,operator_activity
13E_12-7B,operator_activity,3,11646,,,,,,operator_activity
13E_12-7C,operator_activity,3,11647,,,,,,operator_activity
13E_12-7D,operator_activity,3,11648,,,,,,operator_activity
13E_13-8C,operator_activity,3,11649,,,,,,operator_activity
13E_13-8D,operator_activity,3,11650,,,,,,operator_activity
13E_2-4A,operator_activity,3,11609,,,,,,operator_activity
13E_2-4B,operator_activity,3,11610,,,,,,operator_activity
13E_2-4C,operator_activity,3,11611,,,,,,operator_activity
13E_2-4D,operator_activity,3,11612,,,,,,operator_activity
13E_3-3A,operator_activity,3,11613,,,,,,operator_activity
13E_3-3B,operator_activity,3,11614,,,,,,operator_activity
13E_3-3C,operator_activity,3,11615,,,,,,operator_activity
13E_3-3D,operator_activity,3,11616,,,,,,operator_activity
13E_4-2,operator_activity,3,,,,,,,operator_activity
13E_4-2C,operator_activity,3,11617,,,,,,operator_activity
